date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,0,null,0,0,null
2020-02-20,0,null,0,0,null
2020-02-21,0,null,0,0,null
2020-02-22,0,null,0,0,null
2020-02-23,0,null,0,0,null
2020-02-24,0,null,0,0,null
2020-02-25,0,null,0,0,null
2020-02-26,0,null,0,0,null
2020-02-27,0,null,0,0,null
2020-02-28,0,null,0,0,null
2020-02-29,1,null,1,0,null
2020-03-01,6,5,6,0,0
2020-03-02,6,0,6,0,0
2020-03-03,7,1,7,0,0
2020-03-04,10,3,10,0,0
2020-03-05,13,3,13,0,0
2020-03-06,13,0,13,0,0
2020-03-07,14,1,14,0,0
2020-03-08,14,0,14,0,0
2020-03-09,15,1,15,0,0
2020-03-10,17,2,17,0,0
2020-03-11,17,0,17,0,0
2020-03-12,17,0,17,0,0
2020-03-13,23,6,22,1,1
2020-03-14,28,5,26,2,1
2020-03-15,37,9,35,2,0
2020-03-16,58,21,56,2,0
2020-03-17,111,53,109,2,0
2020-03-18,168,57,164,3,1
2020-03-19,260,92,256,3,0
2020-03-20,426,166,416,7,4
2020-03-21,532,106,522,7,0
2020-03-22,789,257,772,14,7
2020-03-23,981,192,960,18,4
2020-03-24,1082,101,1052,27,9
2020-03-25,1211,129,1179,29,2
2020-03-26,1403,192,1366,34,5
2020-03-27,1627,224,1583,41,7
2020-03-28,1823,196,1772,48,7
2020-03-29,1924,101,1863,58,10
2020-03-30,1966,42,1901,62,4
2020-03-31,2302,336,2165,79,17
2020-04-01,2758,456,2602,98,19
2020-04-02,3163,405,2978,120,22
2020-04-03,3368,205,3158,145,25
2020-04-04,3465,97,3193,172,27
2020-04-05,3646,181,3366,180,8
2020-04-06,3747,101,3456,191,11
2020-04-07,3995,248,3635,220,29
2020-04-08,4450,455,4068,242,22
2020-04-09,4965,515,4354,272,30
2020-04-10,7161,2196,6496,297,25
2020-04-11,7257,96,6531,315,18
2020-04-12,7466,209,6632,333,18
2020-04-13,7529,63,6577,355,22
2020-04-14,7603,74,6538,369,14
2020-04-15,7858,255,6690,388,19
2020-04-16,8225,367,6984,403,15
2020-04-17,8450,225,7191,421,18
2020-04-18,9022,572,7558,456,35
2020-04-19,9468,446,7933,474,18
2020-04-20,10128,660,8471,507,33
2020-04-21,10398,270,8671,520,13
2020-04-22,10850,452,9051,537,17
2020-04-23,11183,333,9295,560,23
2020-04-24,18778,7595,16836,576,16
2020-04-25,18778,0,16836,576,0
2020-04-26,18778,0,16836,576,0
2020-04-27,19299,521,17079,663,87
2020-04-28,20317,1018,17889,871,208
2020-04-29,20734,417,18294,883,12
2020-04-30,20993,259,18535,900,17
2020-05-01,22395,1402,19419,1063,163
2020-05-02,23523,1128,20020,1371,308
2020-05-03,25597,2074,20733,1564,193
2020-05-04,27940,2343,22938,1569,5
2020-05-05,27940,0,22938,1569,0
2020-05-06,27940,0,22889,1618,49
2020-05-07,28818,878,23731,1654,36
2020-05-08,28818,0,23681,1704,50
2020-05-09,29071,253,23921,1717,13
2020-05-10,29509,438,23949,2127,410
2020-05-11,29509,0,23931,2145,18
2020-05-12,30419,910,24659,2327,182
2020-05-13,30486,67,24719,2334,7
2020-05-14,30502,16,24731,2338,4
2020-05-15,31467,965,25440,2594,256
2020-05-16,32763,1296,26642,2688,94
2020-05-17,33182,419,27013,2736,48
2020-05-18,33582,400,27350,2799,63
2020-05-19,34151,569,27855,2839,40
2020-05-20,34854,703,28409,2888,49
2020-05-21,35306,452,28810,2939,51
2020-05-22,35828,522,29215,3056,117
2020-05-23,36258,430,29605,3096,40
2020-05-24,36756,498,30088,3108,12
2020-05-25,37355,599,16149,3203,95
2020-05-26,37355,0,16149,3203,0
2020-05-27,38103,748,16403,3275,72
2020-05-28,38471,368,16733,3313,38
2020-05-29,38571,100,16047,3334,21
2020-05-30,38571,0,16047,3334,0
2020-05-31,39098,527,16148,3358,24
2020-06-01,39994,896,16777,3394,36
2020-06-02,40414,420,16957,3438,44
2020-06-03,40966,552,17461,3486,48
2020-06-04,40966,0,17461,3486,0
2020-06-05,41575,609,17473,3534,48
2020-06-06,42728,1153,18100,3608,74
